#gene_id	transcript_id	chr	strand	transcript_intron_reads_FPK	intron_reads_FPK
ENSMUSG00000001962	ENSMUST00000114160	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001962	ENSMUST00000138242	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001962	ENSMUST00000149312	chrX	+	0.0	0,0,0
ENSMUSG00000001964	ENSMUST00000002029	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000001964	ENSMUST00000088313	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000001964	ENSMUST00000096424	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000001964	ENSMUST00000119197	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000001964	ENSMUST00000129516	chrX	+	0.0	0,0,0,0
ENSMUSG00000001964	ENSMUST00000152288	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000002006	ENSMUST00000002080	chrX	-	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000002006	ENSMUST00000114438	chrX	-	0.0	0,0,0,0,0,0,0
ENSMUSG00000002007	ENSMUST00000002081	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002007	ENSMUST00000136664	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002007	ENSMUST00000137045	chrX	+	0.0	0,0,0
ENSMUSG00000002007	ENSMUST00000139630	chrX	+	0.0	0,0,0,0
ENSMUSG00000002010	ENSMUST00000052761	chrX	-	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002010	ENSMUST00000129070	chrX	-	0.0	0,0,0,0,0,0,0
ENSMUSG00000002010	ENSMUST00000129367	chrX	-	0	0,0,0,0,0,0
ENSMUSG00000002010	ENSMUST00000130119	chrX	-	0.0	0,0,0
ENSMUSG00000002010	ENSMUST00000140944	chrX	-	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002010	ENSMUST00000142707	chrX	-	0	0,0,0,0
ENSMUSG00000002010	ENSMUST00000145341	chrX	-	0	0,0,0,0,0,0
ENSMUSG00000002010	ENSMUST00000148419	chrX	-	0.0	0,0,0,0
ENSMUSG00000002010	ENSMUST00000156299	chrX	-	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002012	ENSMUST00000002087	chrX	-	0	0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002012	ENSMUST00000114472	chrX	-	0	0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002012	ENSMUST00000114473	chrX	-	0	0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002012	ENSMUST00000129106	chrX	-	0	0,0,0,0,0,0,0
ENSMUSG00000002012	ENSMUST00000144187	chrX	-	0	0,0,0,0,0,0,0,0
ENSMUSG00000002014	ENSMUST00000002090	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000002014	ENSMUST00000129239	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000002014	ENSMUST00000130738	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000002014	ENSMUST00000136544	chrX	+	0	0,0,0
ENSMUSG00000002014	ENSMUST00000141721	chrX	+	0.0	0,0,0,0
ENSMUSG00000002014	ENSMUST00000142829	chrX	+	0.0	0,0,0,0
ENSMUSG00000002014	ENSMUST00000155552	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000002014	ENSMUST00000166518	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000002015	ENSMUST00000002091	chrX	-	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000004330	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000064407	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000114127	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000114128	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000114129	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000114130	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000114133	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000130802	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000132749	chrX	+	0.0	0,0,0,0
ENSMUSG00000004221	ENSMUST00000135165	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000138564	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000139036	chrX	+	0.0	0,0,0
ENSMUSG00000004221	ENSMUST00000143784	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000144947	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000149525	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000156707	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000164101	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000004221	ENSMUST00000180230	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000008601	ENSMUST00000008745	chr3	-	2.380952380952381	0,0,8.695652173913043,0,0,0
ENSMUSG00000008601	ENSMUST00000131775	chr3	-	2.380952380952381	0,0,8.695652173913043,0,0,0,0
ENSMUSG00000008601	ENSMUST00000141371	chr3	-	8.695652173913043	0,8.695652173913043,0
ENSMUSG00000008601	ENSMUST00000149724	chr3	-	0	0,0,0
ENSMUSG00000008604	ENSMUST00000008748	chr3	+	13.281448270027916	2.0,8.421052631578947,13.333333333333334,0,6.671608598962194,15.310717502251578,69.36416184971098,8.130081300813009,0,13.812154696132596,17.703132092601,0
ENSMUSG00000008604	ENSMUST00000192687	chr3	+	14.588235294117647	2.0,14.588235294117647,0
ENSMUSG00000008604	ENSMUST00000192962	chr3	+	6.697362913352867	2.0,8.421052631578947,13.333333333333334,0,0
ENSMUSG00000008604	ENSMUST00000194303	chr3	+	10.097410311237823	2.0,8.421052631578947,13.333333333333334,0,6.671608598962194,15.310717502251578,0
ENSMUSG00000008604	ENSMUST00000195498	chr3	+	8.130081300813009	2.0,8.130081300813009,0
ENSMUSG00000008682	ENSMUST00000008826	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000074085	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000125775	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000134330	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000135690	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000138954	chrX	+	0.0	0,0,0
ENSMUSG00000008682	ENSMUST00000142142	chrX	+	0.0	0,0,0,0
ENSMUSG00000008682	ENSMUST00000144434	chrX	+	0.0	0,0,0
ENSMUSG00000008682	ENSMUST00000146584	chrX	+	0.0	0,0,0
ENSMUSG00000008682	ENSMUST00000149171	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000008682	ENSMUST00000151702	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000009214	ENSMUST00000009358	chr2	-	0	0,0,0,0,0,0
ENSMUSG00000009214	ENSMUST00000163967	chr2	-	0	0,0,0,0,0,0
ENSMUSG00000009216	ENSMUST00000151224	chr2	-	0	0.030768284052798373,0,0,0
ENSMUSG00000009614	ENSMUST00000091224	chr2	-	38.21281599059377	13.698630136986301,72.06803939122649,53.78304466727438,77.35583684950774,20.783132530120483,21.103483346046275,27.174975562072337,14.807738237401482,39.808917197452224,119.11357340720221,56.53021442495126,421.4876033057851,73.46938775510205,0
ENSMUSG00000009614	ENSMUST00000102886	chr2	-	39.27259534714979	13.698630136986301,72.06803939122649,53.78304466727438,77.35583684950774,20.783132530120483,21.103483346046275,27.480474399768585,26.537997587454765,14.807738237401482,39.808917197452224,119.11357340720221,56.53021442495126,421.4876033057851,43.53083434099154,66.22516556291392,133.7579617834395,0,0,0,0,0,0
ENSMUSG00000009614	ENSMUST00000127805	chr2	-	23.806183059725925	13.698630136986301,77.35583684950774,20.783132530120483,21.103483346046275,27.480474399768585,0
ENSMUSG00000009614	ENSMUST00000129975	chr2	-	0	13.698630136986301,0,0,0
ENSMUSG00000009614	ENSMUST00000139312	chr2	-	0	13.698630136986301,0,0,0,0,0
ENSMUSG00000009614	ENSMUST00000142136	chr2	-	72.06803939122649	13.698630136986301,72.06803939122649,0
ENSMUSG00000009614	ENSMUST00000144448	chr2	-	21.45825462788062	13.698630136986301,21.103483346046275,27.174975562072337,14.807738237401482,0
ENSMUSG00000009614	ENSMUST00000147089	chr2	-	34.319526627218934	13.698630136986301,21.103483346046275,212.32876712328766,0
ENSMUSG00000009614	ENSMUST00000149733	chr2	-	0	13.698630136986301,0,0,0,0,0
ENSMUSG00000009614	ENSMUST00000156434	chr2	-	34.493346980552715	13.698630136986301,72.06803939122649,53.78304466727438,77.35583684950774,18.186286556893585,0
ENSMUSG00000009621	ENSMUST00000056176	chr2	-	0.6545726575649897	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3950487226757967,0,1.2903225806451613,0
ENSMUSG00000009621	ENSMUST00000132642	chr2	-	0.3950487226757967	0,0,0.3950487226757967,0,0
ENSMUSG00000009621	ENSMUST00000135584	chr2	-	0	0,0,0,0
ENSMUSG00000009621	ENSMUST00000146843	chr2	-	0	0,0,0
ENSMUSG00000009621	ENSMUST00000148067	chr2	-	0	0,0,0,0,0,0,0,0
ENSMUSG00000009621	ENSMUST00000149758	chr2	-	0	0,0,0,0,0,0,0
ENSMUSG00000009621	ENSMUST00000185188	chr2	-	0.6545726575649897	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3950487226757967,1.2903225806451613,0
ENSMUSG00000009995	ENSMUST00000069722	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000114180	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000114182	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000124200	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000124915	chrX	+	0.0	0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000125972	chrX	+	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000131116	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000132437	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000134432	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000134914	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000134936	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000135012	chrX	+	0.0	0,0,0
ENSMUSG00000009995	ENSMUST00000135504	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000146260	chrX	+	0.0	0,0,0
ENSMUSG00000009995	ENSMUST00000147844	chrX	+	0.0	0,0,0,0
ENSMUSG00000009995	ENSMUST00000149055	chrX	+	0.0	0,0,0
ENSMUSG00000009995	ENSMUST00000153459	chrX	+	0	0,0,0
ENSMUSG00000009995	ENSMUST00000156072	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000156212	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000156788	chrX	+	0.0	0,0,0,0
ENSMUSG00000009995	ENSMUST00000156880	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000009995	ENSMUST00000176453	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000010538	ENSMUST00000010682	chr3	-	0.0	0,0,0,0,0
ENSMUSG00000010538	ENSMUST00000107556	chr3	-	0.0	0,0,0,0,0
ENSMUSG00000010538	ENSMUST00000123536	chr3	-	0.0	0,0,0
ENSMUSG00000014852	ENSMUST00000014996	chr2	+	1.9362869392835738	0,3.6363636363636362,0.6161429451632779,0.9111617312072894,8.032128514056224,7.874015748031496,0.8435259384226065,4.47427293064877,0.8347245409015025,2.7816411682892905,20.0,0.7942811755361397,1.0245901639344264,3.1847133757961785,0.8136696501220504,6.112469437652813,8.98876404494382,0,3.3003300330033003,0,1.1918951132300357,0.8025682182985554,12.195121951219512,2.181818181818182,0
ENSMUSG00000014852	ENSMUST00000102891	chr2	+	1.6300178982357454	0,3.6363636363636362,0.6161429451632779,0.9111617312072894,8.032128514056224,7.874015748031496,0.8435259384226065,4.47427293064877,0.8347245409015025,2.7816411682892905,20.0,0.7942811755361397,1.0245901639344264,3.1847133757961785,0.8136696501220504,6.112469437652813,8.98876404494382,0,3.3003300330033003,0,1.1918951132300357,0.8025682182985554,12.195121951219512,1.4592730167153092,0,1.4326647564469914,0,0,0,0
ENSMUSG00000014852	ENSMUST00000147216	chr2	+	0.0	0,0,0,0
ENSMUSG00000014867	ENSMUST00000015011	chr2	-	8.241758241758243	6.554573952693075,0,0,0,0,8.241758241758243,0
ENSMUSG00000014867	ENSMUST00000153641	chr2	-	8.241758241758243	6.554573952693075,0,0,0,8.241758241758243,0
ENSMUSG00000014867	ENSMUST00000154651	chr2	-	8.241758241758243	6.554573952693075,0,0,8.241758241758243,0
ENSMUSG00000014873	ENSMUST00000015017	chr2	+	31.78484107579462	0,24.242424242424242,0,0,0,36.885245901639344,2.6666666666666665
ENSMUSG00000014873	ENSMUST00000125408	chr2	+	36.885245901639344	0,0,0,0,36.885245901639344,2.6666666666666665
ENSMUSG00000014873	ENSMUST00000126947	chr2	+	31.78484107579462	0,24.242424242424242,0,0,36.885245901639344,2.6666666666666665
ENSMUSG00000014873	ENSMUST00000135506	chr2	+	36.885245901639344	0,36.885245901639344,2.6666666666666665
ENSMUSG00000014873	ENSMUST00000143098	chr2	+	36.885245901639344	0,0,0,36.885245901639344,2.6666666666666665
ENSMUSG00000014873	ENSMUST00000157066	chr2	+	36.885245901639344	0,0,0,0,36.885245901639344,2.6666666666666665
ENSMUSG00000015289	ENSMUST00000015433	chrX	-	0	0,0,0,0
ENSMUSG00000015289	ENSMUST00000114152	chrX	-	0	0,0,0,0
ENSMUSG00000015289	ENSMUST00000114153	chrX	-	0	0,0,0
ENSMUSG00000015290	ENSMUST00000015434	chrX	-	0	0,0,0,0,0
ENSMUSG00000015290	ENSMUST00000125914	chrX	-	0	0,0,0,0
ENSMUSG00000015290	ENSMUST00000126117	chrX	-	0	0,0,0,0
ENSMUSG00000015290	ENSMUST00000126191	chrX	-	0	0,0,0
ENSMUSG00000015290	ENSMUST00000140632	chrX	-	0	0,0,0
ENSMUSG00000015290	ENSMUST00000155676	chrX	-	0	0,0,0,0,0
ENSMUSG00000015290	ENSMUST00000178691	chrX	-	0	0,0,0,0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000015435	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000128915	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000130581	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000135041	chrX	+	0.0	0,0,0,0
ENSMUSG00000015291	ENSMUST00000137447	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000144317	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000145580	chrX	+	0.0	0,0,0,0
ENSMUSG00000015291	ENSMUST00000146013	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000149391	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000015291	ENSMUST00000153141	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000015488	ENSMUST00000114003	chr2	+	16.377005347593585	0,11.43889223359422,6.0698027314112295,43.75667022411953,27.027027027027028,0,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000114004	chr2	+	9.55724595279891	0,10.7639800472565,6.0698027314112295,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000114005	chr2	+	9.55724595279891	0,10.7639800472565,6.0698027314112295,0,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000114006	chr2	+	15.608097666512132	0,10.7639800472565,6.0698027314112295,43.75667022411953,27.027027027027028,0,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000114007	chr2	+	15.608097666512132	0,10.7639800472565,6.0698027314112295,43.75667022411953,27.027027027027028,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000133126	chr2	+	14.841688654353563	0,10.7639800472565,6.0698027314112295,0,43.75667022411953,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000133807	chr2	+	9.557245952798908	0,9.171507184347295,20.44609665427509,6.0698027314112295,2.6666666666666665
ENSMUSG00000015488	ENSMUST00000145290	chr2	+	0	0,0,2.6666666666666665
ENSMUSG00000015776	ENSMUST00000015920	chr2	-	3.887269193391642	0,0,0,3.887269193391642,0.6211180124223603
ENSMUSG00000015776	ENSMUST00000102899	chr2	-	3.887269193391642	0,0,3.887269193391642,0.6211180124223603
ENSMUSG00000015776	ENSMUST00000139815	chr2	-	3.887269193391642	0,0,3.887269193391642,0.6211180124223603
ENSMUSG00000015787	ENSMUST00000102900	chr2	-	0	0,0,0,0,0,0,0
ENSMUSG00000015787	ENSMUST00000114045	chr2	-	0	0,0,0,0,0,0,0
ENSMUSG00000015790	ENSMUST00000015934	chr2	-	41.97080291970803	-1.2422360248447206,0,22.52252252252252,520.0,0,29.850746268656717,142.85714285714286,0,12.0,0
ENSMUSG00000015790	ENSMUST00000128665	chr2	-	29.850746268656717	-1.2422360248447206,29.850746268656717,0
ENSMUSG00000015790	ENSMUST00000129682	chr2	-	32.97997644287397	-1.2422360248447206,29.850746268656717,142.85714285714286,12.0,0
ENSMUSG00000015790	ENSMUST00000129822	chr2	-	41.97080291970803	-1.2422360248447206,22.52252252252252,520.0,0,29.850746268656717,142.85714285714286,0,12.0,0
ENSMUSG00000015790	ENSMUST00000133513	chr2	-	38.33865814696485	-1.2422360248447206,142.85714285714286,12.0,0
ENSMUSG00000015790	ENSMUST00000142967	chr2	-	72.8744939271255	-1.2422360248447206,22.52252252252252,520.0,0,0
ENSMUSG00000015790	ENSMUST00000147110	chr2	-	41.97080291970803	-1.2422360248447206,22.52252252252252,520.0,0,29.850746268656717,142.85714285714286,12.0,0
ENSMUSG00000015790	ENSMUST00000150776	chr2	-	32.97997644287397	-1.2422360248447206,0,29.850746268656717,142.85714285714286,12.0,0
ENSMUSG00000015790	ENSMUST00000167661	chr2	-	41.97080291970803	-1.2422360248447206,0,22.52252252252252,520.0,0,29.850746268656717,142.85714285714286,0,12.0,0
ENSMUSG00000015790	ENSMUST00000183520	chr2	-	41.97080291970803	-1.2422360248447206,0,22.52252252252252,520.0,0,29.850746268656717,142.85714285714286,0,12.0,0
ENSMUSG00000019087	ENSMUST00000019231	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000114171	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000124797	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000135914	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000136056	chrX	+	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000144075	chrX	+	0.0	0,0,0,0
ENSMUSG00000019087	ENSMUST00000144506	chrX	+	0.0	0,0,0,0
ENSMUSG00000019087	ENSMUST00000147275	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000147900	chrX	+	0.0	0,0,0,0,0,0,0,0
ENSMUSG00000019087	ENSMUST00000154630	chrX	+	0	0,0,0
ENSMUSG00000019088	ENSMUST00000019232	chrX	-	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000019088	ENSMUST00000075821	chrX	-	0.0	0,0,0,0,0,0,0,0,0
ENSMUSG00000019088	ENSMUST00000114189	chrX	-	0.0	0,0,0,0
ENSMUSG00000019088	ENSMUST00000119361	chrX	-	0.0	0,0,0,0
ENSMUSG00000019088	ENSMUST00000128763	chrX	-	0	0,0,0
ENSMUSG00000019088	ENSMUST00000148882	chrX	-	0.0	0,0,0
ENSMUSG00000019558	ENSMUST00000033752	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000114464	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000114465	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000114467	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000146796	chrX	+	0.0	0,0,0,0
ENSMUSG00000019558	ENSMUST00000164449	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000166200	chrX	+	0.0	0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000167828	chrX	+	0.0	0,0,0,0
ENSMUSG00000019558	ENSMUST00000168764	chrX	+	0.0	0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000168831	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000170574	chrX	+	0.0	0,0,0
ENSMUSG00000019558	ENSMUST00000170614	chrX	+	0.0	0,0,0,0,0,0,0,0,0,0
ENSMUSG00000019558	ENSMUST00000171398	chrX	+	0.0	0,0,0,0
ENSMUSG00000026028	ENSMUST00000172685	chr1	-	0	0,0,0
